Timestamp,How old are you?,What is your faculty of study?,What year of study are you in?,What consumes most of your time? (Select all that apply),What is your gender,"How often are you on the internet? (time on social media, web browsing, video streaming, etc)",How often are you using the internet for school purposes?,How often do you use ChatGPT?,,Do you think that the use of ChatGPT could reduce the quality of education?,Which of the following educational purposes do you think ChatGPT should be used for? (Select all that apply),,What are some benefits of using ChatGPT for educational purposes? (Point form is fine),What are some limitations of using ChatGPT for educational purposes? (Point form is fine)
3/7/2023 17:54:57,16-19,Business,1st Year,Full-Time Student,Female,Very often,Often,I have never used ChatGPT,,In some ways,Questions about material,,Questions prof didn’t answer,Cheating 
3/7/2023 17:55:00,20-29,Business,1st Year,Full-Time Student,Male,Often,Often,I have never used ChatGPT,,Yes,Research,,No point,Bad education qualities
3/7/2023 17:55:08,16-19,Science,1st Year,Full-Time Student,Female,Very often,Very Often,I have never used ChatGPT,,In some ways,"Homework, Research, Assignments, Questions about material, Essays",,Stimulate ideas,Encourages cheating
3/7/2023 17:55:46,20-29,Science,2nd Year,Full-Time Student,Female,Sometimes,Often,I have never used ChatGPT,,In some ways,"Research, Questions about material",,Allows summarization or details of a topic to be explained in a simplistic way ,Reduces work ethic 
3/7/2023 17:55:55,16-19,Business,1st Year,Full-Time Student,Female,Very often,Very Often,I have never used ChatGPT,,In some ways,"Homework, Research",,allows to give you a better understanding of the work you are doing ,it solves things for you and doesn’t allow you to think 
3/7/2023 17:56:16,16-19,Business,1st Year,Full-Time Student,Male,Very often,Sometimes,I have never used ChatGPT,,Yes,"Research, Questions about material",,- chatgpt follows algorithms rather than facts so the use for research which can be followed up to validate information is beneficial,- doesn’t allow the user to use their brain
3/7/2023 17:56:35,16-19,Business,1st Year,Full-Time Student,Male,Often,Often,Rarely,,No,"Research, Questions about material",,Helpful,Not sure
3/7/2023 17:56:56,16-19,Business,1st Year,Full-Time Student,Male,Often,Sometimes,I have never used ChatGPT,,In some ways,"Homework, Questions about material",,"•Giving insight on certain concepts
•for research or answering questions 
",Idk.
3/8/2023 7:59:10,20-29,Science,1st Year,Part-Time Student,Male,Often,Often,Rarely,,In some ways,"Research, Questions about material",,Questions that are answered and tailored to exactly what you’re trying to learn on understand,Cheating 
3/8/2023 14:57:31,20-29,Arts,3rd Year,Full-Time Student,Male,Often,Often,Rarely,,In some ways,Research,,"- broadening understanding of education
-summary of subjects",-critical thinking 
3/8/2023 19:19:41,20-29,Engineering and Architecture,1st Year,Full-Time Student,Female,Sometimes,Very Often,Rarely,,Not really,"Research, Essays",,writings,no limitations it's a new source of info like google
3/9/2023 8:03:24,20-29,Engineering and Architecture,3rd Year,"Working Part-Time (20 hours a week or less), Full-Time Student",Male,Very often,Very Often,I have never used ChatGPT,,Not really,"Homework, Research, Assignments, Essays",,Is handy in certain situations and could overshadow current research methods in the future.,"Plagiarism, misinformation."
3/9/2023 10:28:35,16-19,Business,2nd Year,Full-Time Student,Male,Very often,Very Often,I have never used ChatGPT,,In some ways,"Research, Questions about material",,I don’t know,I don’t know
3/9/2023 11:05:37,16-19,Arts,1st Year,"Working Part-Time (20 hours a week or less), Full-Time Student",Female,Very often,Very Often,I have never used ChatGPT,,Yes,Research,,Getting an idea about a subject before writing a paper about that subject ,Only using this is not enough to learn about a subject throughly 
3/9/2023 11:07:31,16-19,Arts,1st Year,"Working Part-Time (20 hours a week or less), Full-Time Student",Female,Very often,Often,I have never used ChatGPT,,In some ways,"Homework, Research, Questions about material",,"learning at your own pace, more accessible to learn new material",less engagement in the class room
3/9/2023 14:13:50,20-29,Arts,3rd Year,Full-Time Student,Female,Very often,Often,I have never used ChatGPT,,Yes,"Research, Questions about material",,Informal research / work,limited analysis 
3/9/2023 18:24:12,20-29,Science,1st Year,Part-Time Student,Prefer not to say,Often,Sometimes,I have never used ChatGPT,,No,Homework,,Getting dumber,Being dumber
3/10/2023 8:02:07,16-19,Business,2nd Year,Full-Time Student,Male,Very often,Often,Sometimes,,In some ways,"Research, Questions about material",,"It’s convenient for students, allows us to be able to research something a lot quicker than it would normally take ","Maybe the limitations of the AI, I’m not quite sure to be honest "
3/10/2023 9:06:59,20-29,Arts,2nd Year,Full-Time Student,Female,Very often,Sometimes,I have never used ChatGPT,,In some ways,"Homework, Research, Assignments, Online Assessments (tests/quizzes), Questions about material, Essays",,It could provide some inspiration and knowledge in an easily accessible way.,The academic integrity problem needs to be solved.
3/10/2023 10:02:47,16-19,Science,1st Year,Full-Time Student,Male,Very often,Very Often,I have never used ChatGPT,,Yes,Questions about material,,Reducing time to complete elementary tasks,"Reduces creativity, intuition, and inference skills"
3/10/2023 10:08:36,20-29,Business,2nd Year,"Working Part-Time (20 hours a week or less), Full-Time Student",Female,Very often,Often,Rarely,,Not really,Questions about material,,May aid in brainstorming or clarifying ,"It is often wrong
ChatGPT does not know exactly the scope of the course
Using ChatGPT may inhibit your learning of critical thinking skills
"
3/10/2023 12:07:50,16-19,Science,1st Year,Full-Time Student,Female,Sometimes,Very Often,I have never used ChatGPT,,Not really,"Homework, Research, Assignments",,Helps if you’re stuck on something ,I don’t know 
3/10/2023 13:29:00,16-19,Engineering and Architecture,2nd Year,Full-Time Student,Male,Very often,Very Often,Sometimes,,Not really,"Research, Questions about material",,guides you if your confused,answers are bland and often wrong
3/10/2023 13:53:06,20-29,Science,2nd Year,Full-Time Student,Male,Very often,Often,Sometimes,,In some ways,"Homework, Assignments, Questions about material, Essays",,peer-review purposes with chatgpt,"it is not always correct, there will always be holes in its knowledge"
3/10/2023 17:41:24,16-19,Engineering and Architecture,2nd Year,Full-Time Student,Female,Very often,Very Often,Sometimes,,In some ways,"Homework, Research, Assignments, Questions about material",,Helps one understand a certain material faster. ,Cheating during test
3/10/2023 17:41:48,16-19,Engineering and Architecture,2nd Year,Full-Time Student,Helicopter ,Very often,Often,Very often,,Not really,"Research, Assignments, Questions about material",,Good for understanding and relating content material to each other which would be hard to do on google,I get caught cheating 
3/10/2023 17:42:02,20-29,Engineering and Architecture,2nd Year,Full-Time Student,Non-binary,Often,Very Often,Very often,,In some ways,"Homework, Research, Assignments, Online Assessments (tests/quizzes), Questions about material, Essays",,"- reliable most of the time
- fast answers
-everything in one place
-someone to talk to ","-can’t do discrete math
-sometimes gives wrong answer
-can be detected by profs now "
3/10/2023 18:51:36,16-19,Arts,1st Year,"Working Part-Time (20 hours a week or less), Full-Time Student",Female,Often,Often,I have never used ChatGPT,,In some ways,"Homework, Research, Questions about material",,"getting the parameters of a topic, answering questions that you have for a prof, double checking your own work","It doesn’t come with trusted sources, affects doing your own research, unfair to other students that can’t use it"
3/11/2023 12:45:33,20-29,Business,3rd Year,Full-Time Student,Female,Not at all,Not at all,I have never used ChatGPT,,In some ways,Homework,,Helpful,Difficult 
3/13/2023 7:21:28,16-19,Arts,2nd Year,Full-Time Student,Female,Very often,Often,I have never used ChatGPT,,Yes,Questions about material,,Idk I’ve never used it ,Idk 
3/13/2023 8:02:27,16-19,Engineering and Architecture,2nd Year,Full-Time Student,Male,Often,Often,I have never used ChatGPT,,In some ways,"Homework, Research, Assignments",,"-Helps with phrasing words better
-Helps align your ideas in a way that makes more sense ","-Can be used for cheating 
-No learning is being done"
3/13/2023 11:24:01,16-19,Arts,1st Year,"Working Part-Time (20 hours a week or less), Full-Time Student",Male,Very often,Sometimes,Rarely,,Not really,"Homework, Research, Questions about material",,- access to information faster and quicker,- ruins memorization based exams 
3/13/2023 12:05:08,16-19,Science,1st Year,"Working Part-Time (20 hours a week or less), Full-Time Student",Female,Very often,Often,I have never used ChatGPT,,Not really,"Research, Questions about material",,Bringing up points of research on the topic that may have not been googles main results ,Can replace the research experiment = no learning 
3/13/2023 13:43:04,20-29,Business,4th Year,Working Part-Time (20 hours a week or less),Male,Very often,Very Often,Very often,,No,"Homework, Research, Assignments, Online Assessments (tests/quizzes), Questions about material, Essays",,generating ideas,Turn it in fuxk
3/13/2023 16:31:58,16-19,Science,1st Year,Full-Time Student,Female,Often,Sometimes,Rarely,,Not really,"Homework, Research, Assignments, Online Assessments (tests/quizzes), Questions about material, Essays",,Understanding the answers in different ways ,The possibility of getting something wrong 
3/13/2023 18:19:08,20-29,Engineering and Architecture,2nd Year,Full-Time Student,Male,Sometimes,Sometimes,Sometimes,,Yes,Research,,Faster and more accurate than stackoverflow,"Too direct, learning is also about filtering out what you don’t need "
3/14/2023 12:07:55,20-29,Business,4th Year,"Working Part-Time (20 hours a week or less), Full-Time Student",Male,Very often,Very Often,Rarely,,In some ways,"Homework, Research, Assignments, Questions about material, Essays",,"Helps to formulate sentences, get essays started, search for relevant information, etc. ",AI is still new and can’t 100% be trusted 
3/14/2023 13:00:02,40-49,Engineering and Architecture,5+,Working Full-Time (40 hours a week),Male,Very often,Very Often,I have never used ChatGPT,,Yes,Research,,None,Everything 
